,pearsons,spearmans,dataset
437,0.2416996298821985,0.37413470882701927,Train
438,0.18733531064942932,0.1726460659432806,Train
439,0.12718938027728932,0.10144072349520275,Train
440,0.6218502200335034,0.5116216354867481,Train
441,0.8356012510918667,0.8267673139374291,Train
442,0.7843726532718576,0.7503574597156208,Train
443,0.5509660739343939,0.4968817160242341,Train
444,0.7734601057297492,0.6913630663068709,Train
445,0.6860566485132247,0.6660248415835317,Train
446,-0.14260220660640424,-0.18451542975167054,Train
447,0.25092571492116283,0.42423940687735473,Train
448,0.42996907810729945,0.24388540238369902,Train
449,0.4298682169168345,0.5851191721683681,Train
450,0.5585700343612926,0.7228486934358075,Train
451,0.5404111491421555,0.3215216962621452,Train
452,0.6369689727158675,0.57690028143307,Train
453,0.7974442947235363,0.7035134331221539,Train
454,0.7443077431383789,0.6793690969149476,Train
455,0.5243974784884994,0.5090224885777255,Train
456,0.19978686791889425,0.40582062474719094,Train
457,0.5179257085652001,0.2582178722084021,Train
458,0.3050953241987284,0.29505574691213277,Train
459,-0.20142490964565818,-0.023315984493391482,Train
460,0.019862660725780145,0.009859712282537342,Train
461,0.27424710054928747,0.19197907538326967,Train
462,-0.13779301908479832,-0.14976464215488988,Train
463,0.11469149965663672,0.1308645055625624,Train
464,0.5517405630965022,0.4249317323797677,Train
465,0.2686907316229671,0.24325740273716115,Train
466,0.18588559884579092,0.3110302075302301,Train
467,0.13370004527875834,0.034122597629870514,Train
468,0.3044041048396192,0.26418293277826654,Train
469,0.6556501819016446,0.5656148967995585,Train
470,0.69906579509346,0.6539809300592613,Train
471,0.7550519087319909,0.6650898002089085,Train
472,0.4874888977116808,0.445307532735509,Train
473,0.5861919498854999,0.4098220787100347,Train
474,0.5147643288113819,0.2288798807019839,Train
475,0.21860601097727378,0.10132945347714925,Train
476,-0.48563834336556366,-0.18546465197214168,Train
477,-0.06722092928010362,-0.10552012624754868,Train
478,0.6198344900009127,0.5475095516982356,Train
479,0.6182649459515017,0.5466928034423099,Train
480,0.6572187311545334,0.6231362900439126,Train
481,0.1517800844620816,0.045985357831705535,Train
482,0.334922293274132,0.2795254968331798,Train
483,0.43456285305386305,0.39398517463248695,Train
484,0.608361291785433,0.3864385931911875,Train
485,0.1853767764385846,0.13954414693118106,Train
486,0.31977188186367533,0.48652246317549963,Train
487,0.08330543928058856,0.016705759536667402,Train
488,0.10369738504392295,0.29067491911213034,Train
489,0.08933789294028954,0.07555538422391563,Train
490,0.5558144004968237,0.6173754904703687,Train
491,0.10845292401603487,0.13963966516874035,Train
492,0.3221208184032657,0.0721792091890032,Train
493,-0.14693821875840113,-0.33775553100000894,Train
494,0.4519131695499202,0.16068666426907963,Train
495,0.5660654857548608,0.43793685878863287,Train
496,-0.08385647199606162,-0.08153878865598227,Train
497,0.500387894267012,0.5739619781666432,Train
498,0.06819179952459935,-0.12833176957997772,Train
499,0.21365161359519755,0.15538790039308767,Train
500,0.6475150339409009,0.601243051930902,Train
501,0.5657452178689903,0.6231769583704838,Train
502,0.6642618145413323,0.7017664048562333,Train
503,0.6362829074537253,0.5194089167346125,Train
504,0.6357926477424112,0.5942889060884615,Train
505,0.750107771796962,0.716599335142011,Train
506,0.16618295506407205,0.34033266043927035,Train
507,-0.31274901869578275,-0.22779308979970614,Train
508,0.6781592135916042,0.5269793347498618,Train
509,0.5148261999476003,0.35843634381023143,Train
510,0.564996737324839,0.32113607699490426,Train
511,0.5989373260772619,0.6103416961624477,Train
512,0.2969928725263136,0.21437943129845086,Train
513,0.7057290522439903,0.6589639013045416,Train
514,0.2798777186681568,0.31015314152610257,Train
515,0.019556004945901463,-0.03719272513555545,Train
516,0.14651709653629802,0.215491363204094,Train
517,0.6447091719712201,0.6367959133732894,Train
518,0.6266041105234637,0.5420897404800045,Train
519,0.4355424521674611,0.31091840928676506,Train
520,0.8311962937631747,0.7675585972545031,Train
